target,target_id,disease,disease_id,clinical,clinical_reason,druggability,druggability_reason,pathway,pathway_reason,safety,safety_reason,composite,confidence
BRAF,ENSG00000157764,melanoma,EFO_0000756,0,No clinical or genetic evidence found,3,SM: Approved Drug; SM: Structure with Ligand; SM: High-Quality Ligand; SM: High-Quality Pocket; SM: Druggable Family; AB: UniProt loc high conf; AB: GO CC high conf; AB: Human Protein Atlas loc,4,"16 pathway(s): Gain-of-function MRAS complexes activate RAF signaling, Signalling to p38 via RIT and RIN, Negative feedback regulation of MAPK pathway; Function: Protein kinase involved in the transduction of mitogenic signals from the cell m...; Location: Nucleus, Cytoplasm, Cell membrane",1,High LoF intolerance (pLI-like score=1.00),2.05,Medium
KRAS,ENSG00000133703,melanoma,EFO_0000756,0,No clinical or genetic evidence found,3,SM: Approved Drug; SM: Structure with Ligand; SM: High-Quality Ligand; AB: UniProt loc high conf; AB: GO CC high conf,4,"71 pathway(s): Signalling to RAS, SHC-related events triggered by IGF1R, Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants; Function: Ras proteins bind GDP/GTP and possess intrinsic GTPase activity (PubMed:20949621...; Location: Cell membrane, Endomembrane system, Cytoplasm",1,High LoF intolerance (pLI-like score=1.00),2.05,Medium
